Task;Bucket;Details
Reunião inicial com stakeholders;Planejamento;Discussão sobre os objetivos do projeto, cronograma e recursos necessários
Levantamento de requisitos;Planejamento;Coleta de informações detalhadas sobre o ambiente atual e os requisitos para a migração
Inventário do ambiente atual;Planejamento;Criação de um inventário completo de todos os objetos do AD, estações de trabalho, caixas de e-mail e dados do SharePoint, OneDrive e Teams
Modelagem de scripts de migração;Desenvolvimento;Desenvolvimento e testes de scripts personalizados para migração de objetos do AD, estações de trabalho e dados
Homologação de scripts;Desenvolvimento;Testes rigorosos dos scripts de migração em um ambiente de testes controlado
Extração de relatórios;Relatórios;Geração de relatórios detalhados sobre o ambiente atual e progresso da migração
Configuração do ADMT;Migração de Objetos;Instalação e configuração do ADMT para migração de objetos do AD
Execução da migração de objetos com ADMT;Migração de Objetos;Migração de usuários, grupos e computadores usando ADMT
Configuração do ProfWiz;Migração de Estações de Trabalho;Instalação e configuração do ProfWiz para migração de perfis de estações de trabalho
Execução da migração de estações de trabalho com ProfWiz;Migração de Estações de Trabalho;Migração de perfis de usuário em estações de trabalho usando ProfWiz
Configuração do BitTitan;Migração de Exchange Online;Configuração do BitTitan para migração de caixas de e-mail para Exchange Online
Execução da migração de caixas de e-mail com BitTitan;Migração de Exchange Online;Migração de caixas de e-mail para Exchange Online usando BitTitan
Configuração do Sharegate;Migração de SharePoint/OneDrive/Teams;Instalação e configuração do Sharegate para migração de dados do SharePoint, OneDrive e Teams
Execução da migração de sites do SharePoint com Sharegate;Migração de SharePoint/OneDrive/Teams;Migração de sites do SharePoint usando Sharegate
Execução da migração de dados do OneDrive com Sharegate;Migração de SharePoint/OneDrive/Teams;Migração de dados do OneDrive usando Sharegate
Execução da migração de Teams com Sharegate;Migração de SharePoint/OneDrive/Teams;Migração de dados do Teams usando Sharegate
Validação pós-migração;Validação;Verificação da integridade e funcionalidade dos objetos migrados, perfis de estações de trabalho, caixas de e-mail e dados do SharePoint, OneDrive e Teams
Treinamento e suporte para usuários finais;Suporte;Treinamento para usuários finais sobre quaisquer mudanças e suporte pós-migração
Documentação final do projeto;Encerramento;Documentação completa do processo de migração e resultados finais
Reunião de encerramento com stakeholders;Encerramento;Discussão dos resultados do projeto, lições aprendidas e fechamento do projeto
